symbol,strategy,entry_time,direction,trend,btc_regime,regime,entry,stop_loss,tp1,tp2,rr,actual_rr,rsi,rsi_dir,ema_spread_pct,atr_pct,pb_candles,entry_body_pct,ema21_dist_pct,entry_delay_1h,size_multiplier,risk_usd,position_size,outcome,exit_price,exit_reason,candles_held,pnl
ALGO/USDT,S5,2025-01-02 04:00,LONG,range,n/a,TRANSITIONAL,0.3943,0.342977,0.496946,0.599592,2.0,-1.0,71.6,,11.08,3.87,,,,0,1.5,75.0,1461.3331,sl,0.342977,stop_loss,157,-75.0
ATOM/USDT,S5,2025-01-02 08:00,LONG,range,n/a,TRENDING,6.672,6.433229,7.149542,7.627084,2.0,2.63,59.5,,7.73,2.63,,,,0,0.5,25.0,104.7028,tp1+trail,7.300458,trail_stop,48,57.9
SOL/USDT,S5,2025-01-02 12:00,LONG,range,n/a,TRENDING,208.51,196.214666,233.100668,257.691336,2.0,-1.0,69.3,,5.94,2.23,,,,0,0.5,25.0,2.0333,sl,196.214666,stop_loss,137,-25.0
XRP/USDT,S5,2025-01-02 12:00,LONG,range,n/a,TRANSITIONAL,2.4035,2.309658,2.591184,2.778868,2.0,-1.0,69.3,,19.99,2.81,,,,0,1.5,75.0,799.2157,sl,2.309658,stop_loss,123,-75.0
NEAR/USDT,S5,2025-01-03 00:00,LONG,range,n/a,TRENDING,5.447,5.321136,5.698728,5.950456,2.0,2.0,61.7,,11.39,2.38,,,,0,0.5,25.0,198.6271,tp1+trail,5.699271,trail_stop,17,50.05
ADA/USDT,S5,2025-01-03 04:00,LONG,range,n/a,TRANSITIONAL,1.027,0.930219,1.220562,1.414124,2.0,-1.0,76.6,,16.86,2.88,,,,0,1.5,75.0,774.9455,sl,0.930219,stop_loss,133,-75.0
DOT/USDT,S5,2025-01-03 04:00,LONG,range,n/a,TRENDING,7.326,7.012375,7.95325,8.5805,2.0,1.14,64.0,,9.59,2.45,,,,0,0.5,25.0,79.713,tp1+trail,7.684375,trail_stop,16,39.28
ENA/USDT,S5,2025-01-03 04:00,LONG,range,n/a,TRANSITIONAL,1.0573,1.002811,1.166278,1.275256,2.0,2.36,67.7,,15.29,3.4,,,,0,1.5,75.0,1376.4246,tp1+trail,1.185823,trail_stop,11,163.45
FET/USDT,S5,2025-01-03 04:00,LONG,range,n/a,TRENDING,1.41,1.346864,1.536272,1.662544,2.0,2.39,64.3,,11.96,2.86,,,,0,1.5,75.0,1187.9118,tp1+trail,1.560728,trail_stop,65,164.53
BTC/USDT,S5,2025-01-03 12:00,LONG,range,n/a,TRANSITIONAL,96757.58,95345.761606,99581.216788,102404.853576,2.0,2.39,59.1,,4.65,1.2,,,,0,0.25,12.5,0.0089,tp1+trail,100137.553212,trail_stop,74,27.61
ETH/USDT,S5,2025-01-03 12:00,LONG,range,n/a,RANGING,3465.62,3396.987916,3602.884168,3740.148336,2.0,2.33,59.4,,4.48,1.43,,,,0,0.25,12.5,0.1821,tp1+trail,3625.645833,trail_stop,44,27.07
AVAX/USDT,S5,2025-01-03 12:00,LONG,range,n/a,TRANSITIONAL,41.31,38.26203,47.40594,53.50188,2.0,-1.0,68.0,,14.55,2.6,,,,0,0.5,25.0,8.2022,sl,38.26203,stop_loss,114,-25.0
TRX/USDT,S5,2025-01-03 12:00,LONG,range,n/a,TRANSITIONAL,0.2631,0.259386,0.270528,0.277956,2.0,0.98,58.8,,3.72,1.15,,,,0,0.25,12.5,3365.6435,tp1+trail,0.266757,trail_stop,16,18.65
FIL/USDT,S5,2025-01-03 12:00,LONG,range,n/a,TRANSITIONAL,5.423,5.167214,5.934572,6.446144,2.0,-1.0,63.3,,12.72,2.68,,,,0,0.5,25.0,97.738,sl,5.167214,stop_loss,41,-25.0
CHZ/USDT,S5,2025-01-03 12:00,LONG,range,n/a,RANGING,0.0909,0.085461,0.101778,0.112656,2.0,-1.0,63.7,,10.43,2.51,,,,0,0.5,25.0,4596.4332,sl,0.085461,stop_loss,104,-25.0
DOGE/USDT,S5,2025-01-03 12:00,LONG,range,n/a,TRENDING,0.34885,0.329824,0.386902,0.424954,2.0,1.51,67.0,,9.69,2.27,,,,0,0.5,25.0,1313.9914,tp1+trail,0.377541,trail_stop,13,43.85
RENDER/USDT,S5,2025-01-03 12:00,LONG,range,n/a,RANGING,7.875,7.359733,8.905534,9.936068,2.0,1.57,66.5,,15.54,2.88,,,,0,1.5,75.0,145.5556,tp1+trail,8.684197,trail_stop,86,133.89
ICP/USDT,S5,2025-01-03 16:00,LONG,range,n/a,TRANSITIONAL,12.039,10.657028,14.802944,17.566888,2.0,-1.0,74.5,,15.29,2.87,,,,0,1.5,75.0,54.2703,sl,10.657028,stop_loss,110,-75.0
