symbol,strategy,entry_time,direction,trend,btc_regime,regime,entry,stop_loss,tp1,tp2,rr,actual_rr,rsi,rsi_dir,ema_spread_pct,atr_pct,pb_candles,entry_body_pct,ema21_dist_pct,entry_delay_1h,size_multiplier,risk_usd,position_size,outcome,exit_price,exit_reason,candles_held,pnl
ETH/USDT,S5,2017-08-29 00:00,LONG,range,n/a,TRENDING,346.0,327.543972,382.912056,419.824112,2.0,1.78,66.6,,7.05,2.55,,,,0,0.5,25.0,1.3546,tp1+trail,378.781918,trail_stop,31,47.2
BTC/USDT,S5,2017-08-30 00:00,LONG,range,n/a,TRENDING,4587.48,4441.638715,4879.16257,5170.84514,2.0,-1.0,70.0,,6.19,2.41,,,,0,0.5,25.0,0.1714,sl,4441.638715,stop_loss,10,-25.0
BTC/USDT,S5,2017-09-13 12:00,SHORT,range,n/a,TRENDING,3832.0,4073.929745,3348.14051,2864.28102,2.0,1.32,32.7,,10.17,4.33,,,,0,1.5,75.0,0.31,tp1+trail,3511.759235,trail_stop,31,124.64
ETH/USDT,S5,2017-10-07 16:00,LONG,range,n/a,TRENDING,310.06,300.545833,329.088334,348.116668,2.0,-1.0,65.0,,7.13,1.97,,,,0,0.25,12.5,1.3138,sl,300.545833,stop_loss,47,-12.5
BTC/USDT,S5,2017-10-13 04:00,LONG,range,n/a,TRENDING,5748.0,4935.377531,7373.244938,8998.489876,2.0,0.27,88.5,,8.07,2.6,,,,0,0.5,25.0,0.0308,timeout,5967.26,timeout,240,6.75
BTC/USDT,S5,2017-10-25 00:00,SHORT,range,n/a,TRENDING,5477.03,5838.632895,4753.82421,4030.61842,2.0,-1.0,36.2,,8.41,3.27,,,,0,1.5,75.0,0.2074,sl,5838.632895,stop_loss,35,-75.0
BTC/USDT,S5,2017-11-01 20:00,LONG,range,n/a,TRANSITIONAL,6622.99,6391.229723,7086.510554,7550.031108,2.0,2.1,74.6,,13.38,1.93,,,,0,0.25,12.5,0.0539,tp1+trail,7108.689167,trail_stop,15,25.58
BTC/USDT,S5,2017-11-11 12:00,SHORT,range,n/a,TRENDING,6410.02,7050.316185,5129.42763,3848.83526,2.0,-1.0,33.6,,8.03,4.38,,,,0,1.5,75.0,0.1171,sl,7050.316185,stop_loss,96,-75.0
BTC/USDT,S5,2017-11-20 12:00,LONG,range,n/a,TRENDING,8057.01,7845.570482,8479.889036,8902.768072,2.0,-1.0,66.4,,6.87,2.29,,,,0,0.5,25.0,0.1182,sl,7845.570482,stop_loss,15,-25.0
ETH/USDT,S5,2017-11-23 12:00,LONG,range,n/a,TRENDING,398.03,368.217745,457.65451,517.27902,2.0,1.62,72.7,,7.73,2.78,,,,0,0.5,15.0,0.5031,tp1+trail,446.283236,trail_stop,30,27.14
BTC/USDT,S5,2017-11-27 04:00,LONG,range,n/a,TRENDING,9459.02,8843.277996,10690.504008,11921.988016,2.0,1.47,84.1,,15.02,2.3,,,,0,0.5,25.0,0.0406,tp1+trail,10364.217996,trail_stop,50,43.37
BTC/USDT,S5,2017-12-06 20:00,LONG,range,n/a,TRENDING,13054.99,11906.26114,15352.44772,17649.90544,2.0,1.92,72.1,,11.34,3.52,,,,0,1.5,75.0,0.0653,tp1+trail,15265.783422,trail_stop,20,147.19
BTC/USDT,S5,2017-12-08 00:00,LONG,range,n/a,TRENDING,16599.0,14042.865154,21711.269692,26823.539384,2.0,-1.0,80.6,,36.24,4.91,,,,0,1.5,75.0,0.0293,sl,14042.865154,stop_loss,11,-75.0
ETH/USDT,S5,2017-12-19 08:00,LONG,range,n/a,TRENDING,835.0,719.060738,1066.878524,1298.757048,2.0,-1.0,79.0,,12.84,4.55,,,,0,1.5,75.0,0.6469,sl,719.060738,stop_loss,16,-75.0
LTC/USDT,S5,2018-01-31 16:00,SHORT,range,n/a,TRANSITIONAL,160.9,177.318625,128.06275,95.2255,2.0,2.73,33.0,,13.77,4.75,,,,0,1.5,75.0,4.568,tp1+trail,116.15725,trail_stop,44,177.19
BTC/USDT,S5,2018-02-15 00:00,LONG,range,n/a,TRENDING,9449.99,9011.618635,10326.73273,11203.47546,2.0,2.53,66.4,,12.95,3.35,,,,0,1.5,75.0,0.1711,tp1+trail,10561.14727,trail_stop,62,170.06
ETH/USDT,S5,2018-02-15 00:00,LONG,range,n/a,TRANSITIONAL,919.09,879.955005,997.35999,1075.62998,2.0,-1.0,65.6,,9.48,3.31,,,,0,1.5,75.0,1.9164,sl,879.955005,stop_loss,143,-75.0
BNB/USDT,S5,2018-02-15 00:00,LONG,range,n/a,TRENDING,10.4096,9.472031,12.284738,14.159876,2.0,-1.0,69.7,,10.39,4.4,,,,0,1.5,75.0,79.9941,sl,9.472031,stop_loss,144,-75.0
BTC/USDT,S5,2018-02-20 20:00,LONG,range,n/a,TRENDING,11668.0,10975.93406,13052.13188,14436.26376,2.0,-1.0,70.9,,11.04,3.09,,,,0,1.5,75.0,0.1084,sl,10975.93406,stop_loss,4,-75.0
BNB/USDT,S5,2018-02-27 00:00,LONG,range,n/a,TRANSITIONAL,9.9199,9.463711,10.832278,11.744656,2.0,1.38,59.0,,11.21,3.78,,,,0,1.5,45.0,98.6433,tp1+trail,10.548635,trail_stop,14,76.01
