symbol,strategy,entry_time,direction,trend,btc_regime,regime,entry,stop_loss,tp1,tp2,rr,actual_rr,rsi,rsi_dir,ema_spread_pct,atr_pct,pb_candles,entry_body_pct,ema21_dist_pct,entry_delay_1h,size_multiplier,risk_usd,position_size,outcome,exit_price,exit_reason,candles_held,pnl
ALT/USDT,S5,2026-01-01 20:00,LONG,range,n/a,TRANSITIONAL,0.01252,0.011716,0.014128,0.015736,2.0,1.56,72.1,,5.66,2.3,,,,0,0.5,25.0,31094.5274,tp1+trail,0.013778,trail_stop,71,44.56
RENDER/USDT,S5,2026-01-02 00:00,LONG,range,n/a,TRENDING,1.383,1.321453,1.506094,1.629188,2.0,2.96,73.8,,3.64,1.67,,,,0,0.25,12.5,203.0968,tp1+trail,1.564906,trail_stop,10,30.97
NEAR/USDT,S5,2026-01-02 04:00,LONG,range,n/a,TRENDING,1.656,1.554527,1.858946,2.061892,2.0,0.96,73.1,,4.55,1.99,,,,0,0.25,12.5,123.1855,timeout,1.753,timeout,240,11.95
ENA/USDT,S5,2026-01-02 16:00,LONG,range,n/a,TRENDING,0.2319,0.210079,0.275542,0.319184,2.0,-0.38,76.2,,7.86,2.43,,,,0,0.5,25.0,1145.6853,timeout,0.2235,timeout,240,-9.62
LTC/USDT,S5,2026-01-02 16:00,LONG,range,n/a,TRANSITIONAL,80.55,78.499936,84.650128,88.750256,2.0,1.21,63.4,,4.19,1.34,,,,0,0.25,12.5,6.0974,tp1+trail,83.029936,trail_stop,96,20.06
PENGU/USDT,S5,2026-01-02 16:00,LONG,range,n/a,TRENDING,0.010405,0.009058,0.013099,0.015793,2.0,1.74,79.2,,7.69,2.57,,,,0,0.5,25.0,18559.7624,tp1+trail,0.012752,trail_stop,47,46.78
RENDER/USDT,S5,2026-01-02 16:00,LONG,range,n/a,TRENDING,1.513,1.4053,1.7284,1.9438,2.0,2.39,76.5,,14.15,2.74,,,,0,0.5,25.0,232.1263,tp1+trail,1.7709,trail_stop,30,54.93
SUI/USDT,S5,2026-01-02 16:00,LONG,range,n/a,TRANSITIONAL,1.5341,1.447567,1.707166,1.880232,2.0,2.05,71.4,,5.3,1.78,,,,0,0.25,12.5,144.4536,tp1+trail,1.711599,trail_stop,49,25.32
WLD/USDT,S5,2026-01-02 16:00,LONG,range,n/a,TRENDING,0.5371,0.507448,0.596404,0.655708,2.0,1.44,71.7,,7.24,2.07,,,,0,0.5,25.0,843.1134,tp1+trail,0.57975,trail_stop,15,42.98
LINK/USDT,S5,2026-01-02 20:00,LONG,range,n/a,TRENDING,13.28,12.712456,14.415088,15.550176,2.0,-0.3,74.1,,5.16,1.62,,,,0,0.25,12.5,22.0247,timeout,13.11,timeout,240,-3.74
ATOM/USDT,S5,2026-01-02 20:00,LONG,range,n/a,TRENDING,2.15,2.064721,2.320558,2.491116,2.0,1.71,71.3,,9.89,1.61,,,,0,0.25,12.5,146.5777,tp1+trail,2.296161,trail_stop,40,23.21
TRX/USDT,S5,2026-01-02 20:00,LONG,range,n/a,RANGING,0.2869,0.283808,0.293084,0.299268,2.0,2.21,60.7,,1.35,0.48,,,,0,0.25,12.5,4042.6908,tp1+trail,0.293724,trail_stop,34,26.29
ADA/USDT,S5,2026-01-03 00:00,LONG,range,n/a,TRENDING,0.3949,0.36695,0.4508,0.5067,2.0,-0.29,73.6,,11.8,2.41,,,,0,0.5,25.0,894.4544,timeout,0.3868,timeout,240,-7.25
HBAR/USDT,S5,2026-01-03 00:00,LONG,range,n/a,TRENDING,0.12161,0.116906,0.131018,0.140426,2.0,1.78,73.3,,11.54,2.01,,,,0,0.5,25.0,5314.6259,tp1+trail,0.129998,trail_stop,79,47.29
AAVE/USDT,S5,2026-01-03 00:00,LONG,range,n/a,TRENDING,165.22,151.43417,192.79166,220.36332,2.0,0.03,78.2,,6.12,1.96,,,,0,0.25,12.5,0.9067,timeout,165.68,timeout,240,0.42
TAO/USDT,S5,2026-01-03 00:00,LONG,range,n/a,TRENDING,249.1,230.749669,285.800662,322.501324,2.0,2.19,79.5,,7.84,2.21,,,,0,0.5,25.0,1.3624,tp1+trail,289.349006,trail_stop,86,52.42
XRP/USDT,S5,2026-01-03 04:00,LONG,range,n/a,TRANSITIONAL,2.0402,1.901012,2.318576,2.596952,2.0,2.08,80.5,,4.38,1.45,,,,0,0.25,12.5,89.8066,tp1+trail,2.329636,trail_stop,68,25.5
ALGO/USDT,S5,2026-01-03 04:00,LONG,range,n/a,TRENDING,0.1298,0.124627,0.140146,0.150492,2.0,-1.0,77.3,,17.06,1.96,,,,0,0.25,12.5,2416.3928,sl,0.124627,stop_loss,3,-12.5
BCH/USDT,S5,2026-01-03 04:00,LONG,range,n/a,TRANSITIONAL,628.8,598.515086,689.369828,749.939656,2.0,-0.42,70.9,,3.17,1.81,,,,0,0.25,12.5,0.4127,timeout,616.0,timeout,240,-5.28
ONDO/USDT,S5,2026-01-03 04:00,LONG,range,n/a,TRENDING,0.4286,0.402427,0.480946,0.533292,2.0,-1.0,79.3,,14.01,1.99,,,,0,0.25,12.5,477.5914,sl,0.402427,stop_loss,129,-12.5
FET/USDT,S5,2026-01-12 04:00,LONG,range,n/a,TRENDING,0.3097,0.280401,0.368298,0.426896,2.0,-1.0,64.5,,8.09,3.74,,,,0,1.5,75.0,2559.8143,sl,0.280401,stop_loss,17,-75.0
BTC/USDT,S5,2026-01-13 08:00,LONG,range,n/a,TRANSITIONAL,91942.0,90494.597825,94836.80435,97731.6087,2.0,1.96,57.5,,1.68,0.96,,,,0,0.25,12.5,0.0086,tp1+trail,94777.163475,trail_stop,22,24.64
CHZ/USDT,S5,2026-01-13 12:00,LONG,range,n/a,TRENDING,0.05409,0.051136,0.059998,0.065906,2.0,1.44,69.5,,18.91,3.75,,,,0,1.5,75.0,25389.3026,tp1+trail,0.058338,trail_stop,56,128.93
SOL/USDT,S5,2026-01-13 16:00,LONG,range,n/a,TRANSITIONAL,143.51,136.514039,157.501922,171.493844,2.0,-1.0,63.5,,6.48,1.82,,,,0,0.25,12.5,1.7867,sl,136.514039,stop_loss,128,-12.5
DOGE/USDT,S5,2026-01-14 00:00,LONG,range,n/a,TRANSITIONAL,0.14828,0.140368,0.164104,0.179928,2.0,-1.0,69.5,,3.96,2.13,,,,0,0.5,25.0,3159.7573,sl,0.140368,stop_loss,39,-25.0
